"","surv_date.u","site_id","transect_id","site_name","site.trans","urchin_dens","surv_area.u","year","semester","year.sem","surv_date.k","kelp_dens","surv_area.k","patch"
"30",2001-08-14,"a-l-06","c-l-00028","GOLB","GOLB.1",0.833333333333333,6,2001,"2",2001-07-01,2001-08-14,0.0625,80,150
"31",2001-08-14,"a-l-07","c-l-00031","IVEE","IVEE.2",1.33333333333333,6,2001,"2",2001-07-01,2001-08-14,0.2,80,152
"32",2001-08-14,"a-l-07","c-l-00035","IVEE","IVEE.1",3.33333333333333,6,2001,"2",2001-07-01,2001-08-14,0.325,80,152
"33",2001-08-15,"a-l-05","c-l-00019","CARP","CARP.1",11,6,2001,"2",2001-07-01,2001-08-15,0.525,80,132
"34",2001-08-15,"a-l-05","c-l-00021","CARP","CARP.7",13.6666666666667,6,2001,"2",2001-07-01,2001-08-15,0,80,132
"35",2001-08-15,"a-l-05","c-l-00022","CARP","CARP.2",34.5,6,2001,"2",2001-07-01,2001-08-15,0,80,131
"36",2001-08-15,"a-l-05","c-l-00024","CARP","CARP.8",64.6666666666667,6,2001,"2",2001-07-01,2001-08-15,0,80,131
"37",2001-08-15,"a-l-05","c-l-00026","CARP","CARP.5",41.6666666666667,6,2001,"2",2001-07-01,2001-08-15,0,80,131
"38",2001-08-16,"a-l-09","c-l-00040","NAPL","NAPL.8",23,6,2001,"2",2001-07-01,2001-08-16,0,80,160
"39",2001-08-16,"a-l-09","c-l-00042","NAPL","NAPL.6",36.5,6,2001,"2",2001-07-01,2001-08-16,0,80,160
"40",2001-08-16,"a-l-09","c-l-00044","NAPL","NAPL.5",24.3333333333333,6,2001,"2",2001-07-01,2001-08-16,0.0125,80,160
"41",2001-08-16,"a-l-09","c-l-00046","NAPL","NAPL.7",32.1666666666667,6,2001,"2",2001-07-01,2001-08-16,0,80,160
"42",2001-08-17,"a-l-04","c-l-00013","BULL","BULL.1",22.5,6,2001,"2",2001-07-01,2001-08-17,0.0375,80,190
"43",2001-08-17,"a-l-04","c-l-00014","BULL","BULL.6",6.16666666666667,6,2001,"2",2001-07-01,2001-08-17,0,80,190
"44",2001-08-21,"a-l-03","c-l-00005","AQUE","AQUE.4",9.16666666666667,6,2001,"2",2001-07-01,2001-08-21,0.0875,80,174
"45",2001-08-21,"a-l-03","c-l-00007","AQUE","AQUE.3",4.5,6,2001,"2",2001-07-01,2001-08-21,0.2125,80,174
"46",2001-08-21,"a-l-03","c-l-00008","AQUE","AQUE.1",0,6,2001,"2",2001-07-01,2001-08-21,0.9625,80,175
"47",2001-08-21,"a-l-03","c-l-00009","AQUE","AQUE.2",2.66666666666667,6,2001,"2",2001-07-01,2001-08-21,0.35,80,175
"48",2001-08-21,"a-l-03","c-l-00010","AQUE","AQUE.5",26.6666666666667,6,2001,"2",2001-07-01,2001-08-21,0,80,174
"49",2001-08-22,"a-l-01","c-l-00001","ABUR","ABUR.1",0,6,2001,"2",2001-07-01,2001-08-22,0.2875,80,145
"50",2001-08-22,"a-l-01","c-l-00002","ABUR","ABUR.2",0,6,2001,"2",2001-07-01,2001-08-22,0,80,145
"51",2001-08-27,"a-l-02","c-l-00003","AHND","AHND.2",6.5,6,2001,"2",2001-07-01,2001-08-27,0.25,80,177
"52",2001-08-29,"a-l-04","c-l-00011","BULL","BULL.3",1.5,6,2001,"2",2001-07-01,2001-08-29,0.1125,80,190
"53",2002-08-13,"a-l-06","c-l-00027","GOLB","GOLB.2",3.83333333333333,6,2002,"2",2002-07-01,2002-08-13,0.1125,80,150
"54",2002-08-13,"a-l-06","c-l-00028","GOLB","GOLB.1",1,6,2002,"2",2002-07-01,2002-08-13,0.1,80,150
"55",2002-08-13,"a-l-07","c-l-00031","IVEE","IVEE.2",0.833333333333333,6,2002,"2",2002-07-01,2002-08-13,0.0625,80,152
"56",2002-08-13,"a-l-07","c-l-00035","IVEE","IVEE.1",2.83333333333333,6,2002,"2",2002-07-01,2002-08-13,1.2125,80,152
"57",2002-08-14,"a-l-09","c-l-00042","NAPL","NAPL.6",25.1666666666667,6,2002,"2",2002-07-01,2002-08-14,0,80,160
"58",2002-08-14,"a-l-09","c-l-00043","NAPL","NAPL.3",32,6,2002,"2",2002-07-01,2002-08-14,0.0375,80,160
"59",2002-08-14,"a-l-09","c-l-00044","NAPL","NAPL.5",16.3333333333333,6,2002,"2",2002-07-01,2002-08-14,0.15,80,160
"60",2002-08-14,"a-l-09","c-l-00045","NAPL","NAPL.4",1.33333333333333,6,2002,"2",2002-07-01,2002-08-14,0,80,160
"61",2002-08-15,"a-l-09","c-l-00039","NAPL","NAPL.1",11.3333333333333,6,2002,"2",2002-07-01,2002-08-15,0.0875,80,160
"62",2002-08-15,"a-l-09","c-l-00040","NAPL","NAPL.8",17.3333333333333,6,2002,"2",2002-07-01,2002-08-15,0.1,80,160
"63",2002-08-15,"a-l-09","c-l-00041","NAPL","NAPL.2",12.1666666666667,6,2002,"2",2002-07-01,2002-08-15,0.3875,80,160
"64",2002-08-15,"a-l-09","c-l-00046","NAPL","NAPL.7",19,6,2002,"2",2002-07-01,2002-08-15,0.175,80,160
"65",2002-08-19,"a-l-04","c-l-00011","BULL","BULL.3",0.5,6,2002,"2",2002-07-01,2002-08-19,0.2,80,190
"66",2002-08-19,"a-l-04","c-l-00013","BULL","BULL.1",41.1666666666667,6,2002,"2",2002-07-01,2002-08-19,0.2625,80,190
"67",2002-08-19,"a-l-04","c-l-00014","BULL","BULL.6",0,6,2002,"2",2002-07-01,2002-08-19,0.1625,80,190
"68",2002-08-20,"a-l-01","c-l-00001","ABUR","ABUR.1",0,6,2002,"2",2002-07-01,2002-08-20,0.175,80,145
"69",2002-08-20,"a-l-01","c-l-00002","ABUR","ABUR.2",0,6,2002,"2",2002-07-01,2002-08-20,0.1625,80,145
"70",2002-08-20,"a-l-08","c-l-00037","MOHK","MOHK.2",7.83333333333333,6,2002,"2",2002-07-01,2002-08-20,0.75,80,145
"71",2002-08-20,"a-l-08","c-l-00038","MOHK","MOHK.1",15.5,6,2002,"2",2002-07-01,2002-08-20,0.2125,80,145
"72",2002-08-21,"a-l-05","c-l-00019","CARP","CARP.1",16.8333333333333,6,2002,"2",2002-07-01,2002-08-21,1.45,80,132
"73",2002-08-21,"a-l-05","c-l-00020","CARP","CARP.6",57.1666666666667,6,2002,"2",2002-07-01,2002-08-21,0,80,132
"74",2002-08-21,"a-l-05","c-l-00021","CARP","CARP.7",13.6666666666667,6,2002,"2",2002-07-01,2002-08-21,0.025,80,132
"75",2002-08-21,"a-l-05","c-l-00022","CARP","CARP.2",24.3333333333333,6,2002,"2",2002-07-01,2002-08-21,0,80,131
"76",2002-08-21,"a-l-05","c-l-00023","CARP","CARP.4",72.1666666666667,6,2002,"2",2002-07-01,2002-08-21,0,80,132
"77",2002-08-21,"a-l-05","c-l-00024","CARP","CARP.8",101.166666666667,6,2002,"2",2002-07-01,2002-08-21,0,80,131
"78",2002-08-21,"a-l-05","c-l-00025","CARP","CARP.3",24,6,2002,"2",2002-07-01,2002-08-21,0,80,132
"79",2002-08-21,"a-l-05","c-l-00026","CARP","CARP.5",52.8333333333333,6,2002,"2",2002-07-01,2002-08-21,0,80,131
"80",2002-08-27,"a-l-03","c-l-00006","AQUE","AQUE.6",0,6,2002,"2",2002-07-01,2002-08-27,0.4375,80,175
"81",2002-08-27,"a-l-03","c-l-00007","AQUE","AQUE.3",0,6,2002,"2",2002-07-01,2002-08-27,0.5625,80,174
"82",2002-08-27,"a-l-03","c-l-00008","AQUE","AQUE.1",0,6,2002,"2",2002-07-01,2002-08-27,0.7,80,175
"83",2002-08-27,"a-l-03","c-l-00009","AQUE","AQUE.2",0.333333333333333,6,2002,"2",2002-07-01,2002-08-27,1.75,80,175
"84",2002-08-28,"a-l-02","c-l-00003","AHND","AHND.2",4.33333333333333,6,2002,"2",2002-07-01,2002-08-28,0.2,80,177
"85",2002-08-28,"a-l-03","c-l-00005","AQUE","AQUE.4",3,6,2002,"2",2002-07-01,2002-08-28,0.6125,80,174
"86",2002-08-28,"a-l-03","c-l-00010","AQUE","AQUE.5",0.333333333333333,6,2002,"2",2002-07-01,2002-08-28,2.3875,80,174
"87",2003-08-11,"a-l-09","c-l-00039","NAPL","NAPL.1",8.5,6,2003,"2",2003-07-01,2003-08-11,0.8,80,160
"88",2003-08-11,"a-l-09","c-l-00041","NAPL","NAPL.2",1.66666666666667,6,2003,"2",2003-07-01,2003-08-11,1.0875,80,160
"89",2003-08-11,"a-l-09","c-l-00043","NAPL","NAPL.3",17.5,6,2003,"2",2003-07-01,2003-08-11,0.4,80,160
"90",2003-08-11,"a-l-09","c-l-00045","NAPL","NAPL.4",0.5,6,2003,"2",2003-07-01,2003-08-11,1.0625,80,160
"91",2003-08-12,"a-l-09","c-l-00040","NAPL","NAPL.8",6,6,2003,"2",2003-07-01,2003-08-12,0.675,80,160
"92",2003-08-12,"a-l-09","c-l-00042","NAPL","NAPL.6",6.66666666666667,6,2003,"2",2003-07-01,2003-08-12,0.875,80,160
"93",2003-08-12,"a-l-09","c-l-00044","NAPL","NAPL.5",0.333333333333333,6,2003,"2",2003-07-01,2003-08-12,0.725,80,160
"94",2003-08-12,"a-l-09","c-l-00046","NAPL","NAPL.7",2.5,6,2003,"2",2003-07-01,2003-08-12,0.5125,80,160
"95",2003-08-14,"a-l-02","c-l-00003","AHND","AHND.2",17.1666666666667,6,2003,"2",2003-07-01,2003-08-14,0.4375,80,177
"96",2003-08-14,"a-l-04","c-l-00011","BULL","BULL.3",0,6,2003,"2",2003-07-01,2003-08-14,0.125,80,190
"97",2003-08-14,"a-l-04","c-l-00013","BULL","BULL.1",0.166666666666667,6,2003,"2",2003-07-01,2003-08-14,0.375,80,190
"98",2003-08-14,"a-l-04","c-l-00014","BULL","BULL.6",0,6,2003,"2",2003-07-01,2003-08-14,0.2375,80,190
"99",2003-08-21,"a-l-05","c-l-00021","CARP","CARP.7",11,6,2003,"2",2003-07-01,2003-08-21,0.3,80,132
"100",2003-08-21,"a-l-05","c-l-00023","CARP","CARP.4",46.8333333333333,6,2003,"2",2003-07-01,2003-08-21,0,80,132
"101",2003-08-21,"a-l-05","c-l-00024","CARP","CARP.8",73.3333333333333,6,2003,"2",2003-07-01,2003-08-21,0,80,131
"102",2003-08-21,"a-l-05","c-l-00026","CARP","CARP.5",39.3333333333333,6,2003,"2",2003-07-01,2003-08-21,0,80,131
"103",2003-08-22,"a-l-05","c-l-00019","CARP","CARP.1",16.5,6,2003,"2",2003-07-01,2003-08-22,1.55,80,132
"104",2003-08-22,"a-l-05","c-l-00020","CARP","CARP.6",32.6666666666667,6,2003,"2",2003-07-01,2003-08-22,0.4875,80,132
"105",2003-08-22,"a-l-05","c-l-00022","CARP","CARP.2",7.66666666666667,6,2003,"2",2003-07-01,2003-08-22,0.025,80,131
"106",2003-08-22,"a-l-05","c-l-00025","CARP","CARP.3",13.6666666666667,6,2003,"2",2003-07-01,2003-08-22,0.6375,80,132
"107",2003-08-25,"a-l-03","c-l-00005","AQUE","AQUE.4",0.666666666666667,6,2003,"2",2003-07-01,2003-08-25,0.175,80,174
"108",2003-08-25,"a-l-03","c-l-00006","AQUE","AQUE.6",0,6,2003,"2",2003-07-01,2003-08-25,0.3875,80,175
"109",2003-08-25,"a-l-03","c-l-00007","AQUE","AQUE.3",0.166666666666667,6,2003,"2",2003-07-01,2003-08-25,0.325,80,174
"110",2003-08-25,"a-l-03","c-l-00008","AQUE","AQUE.1",0.333333333333333,6,2003,"2",2003-07-01,2003-08-25,0.575,80,175
"111",2003-08-25,"a-l-03","c-l-00009","AQUE","AQUE.2",0,6,2003,"2",2003-07-01,2003-08-25,0.5875,80,175
"112",2003-08-25,"a-l-03","c-l-00010","AQUE","AQUE.5",0.333333333333333,6,2003,"2",2003-07-01,2003-08-25,0.5125,80,174
"113",2003-08-26,"a-l-06","c-l-00027","GOLB","GOLB.2",1.33333333333333,6,2003,"2",2003-07-01,2003-08-26,0.6375,80,150
"114",2003-08-26,"a-l-06","c-l-00028","GOLB","GOLB.1",3.16666666666667,6,2003,"2",2003-07-01,2003-08-26,0.7125,80,150
"115",2003-08-26,"a-l-07","c-l-00031","IVEE","IVEE.2",0.833333333333333,6,2003,"2",2003-07-01,2003-08-26,0.25,80,152
"116",2003-08-26,"a-l-07","c-l-00035","IVEE","IVEE.1",0.333333333333333,6,2003,"2",2003-07-01,2003-08-26,0.3625,80,152
"117",2003-08-27,"a-l-01","c-l-00001","ABUR","ABUR.1",0,6,2003,"2",2003-07-01,2003-08-27,0.125,80,145
"118",2003-08-27,"a-l-01","c-l-00002","ABUR","ABUR.2",0,6,2003,"2",2003-07-01,2003-08-27,0,80,145
"119",2003-08-27,"a-l-08","c-l-00037","MOHK","MOHK.2",7.66666666666667,6,2003,"2",2003-07-01,2003-08-27,3.8875,80,145
"120",2003-08-27,"a-l-08","c-l-00038","MOHK","MOHK.1",4.66666666666667,6,2003,"2",2003-07-01,2003-08-27,1.275,80,145
"121",2004-07-19,"a-l-09","c-l-00039","NAPL","NAPL.1",4.33333333333333,6,2004,"2",2004-07-01,2004-07-19,0.5125,80,160
"122",2004-07-19,"a-l-09","c-l-00041","NAPL","NAPL.2",4.83333333333333,6,2004,"2",2004-07-01,2004-07-19,1.2125,80,160
"123",2004-07-19,"a-l-09","c-l-00043","NAPL","NAPL.3",25,6,2004,"2",2004-07-01,2004-07-19,0.8375,80,160
"124",2004-07-19,"a-l-09","c-l-00045","NAPL","NAPL.4",14,6,2004,"2",2004-07-01,2004-07-19,0.2125,80,160
"125",2004-07-20,"a-l-09","c-l-00040","NAPL","NAPL.8",12.5,6,2004,"2",2004-07-01,2004-07-20,0.475,80,160
"126",2004-07-20,"a-l-09","c-l-00042","NAPL","NAPL.6",2,6,2004,"2",2004-07-01,2004-07-20,0.4,80,160
"127",2004-07-20,"a-l-09","c-l-00044","NAPL","NAPL.5",0.5,6,2004,"2",2004-07-01,2004-07-20,0.175,80,160
"128",2004-07-20,"a-l-09","c-l-00046","NAPL","NAPL.7",2.33333333333333,6,2004,"2",2004-07-01,2004-07-20,1.625,80,160
"129",2004-07-21,"a-l-06","c-l-00027","GOLB","GOLB.2",2.66666666666667,6,2004,"2",2004-07-01,2004-07-21,0.1625,80,150
"130",2004-07-21,"a-l-06","c-l-00028","GOLB","GOLB.1",1.33333333333333,6,2004,"2",2004-07-01,2004-07-21,0.1125,80,150
"131",2004-07-21,"a-l-07","c-l-00031","IVEE","IVEE.2",0.333333333333333,6,2004,"2",2004-07-01,2004-07-21,0.7375,80,152
"132",2004-07-21,"a-l-07","c-l-00035","IVEE","IVEE.1",0,6,2004,"2",2004-07-01,2004-07-21,0.0875,80,152
"133",2004-07-22,"a-l-01","c-l-00001","ABUR","ABUR.1",0,6,2004,"2",2004-07-01,2004-07-22,0.2875,80,145
"134",2004-07-22,"a-l-01","c-l-00002","ABUR","ABUR.2",0,6,2004,"2",2004-07-01,2004-07-22,0,80,145
"135",2004-07-22,"a-l-08","c-l-00037","MOHK","MOHK.2",13.8333333333333,6,2004,"2",2004-07-01,2004-07-22,1.45,80,145
"136",2004-07-22,"a-l-08","c-l-00038","MOHK","MOHK.1",4.16666666666667,6,2004,"2",2004-07-01,2004-07-22,2.2375,80,145
"137",2004-07-23,"a-l-03","c-l-00005","AQUE","AQUE.4",0.333333333333333,6,2004,"2",2004-07-01,2004-07-23,0.0625,80,174
"138",2004-07-23,"a-l-03","c-l-00006","AQUE","AQUE.6",0.166666666666667,6,2004,"2",2004-07-01,2004-07-23,0.35,80,175
"139",2004-07-23,"a-l-03","c-l-00007","AQUE","AQUE.3",0,6,2004,"2",2004-07-01,2004-07-23,0.1875,80,174
"140",2004-07-23,"a-l-03","c-l-00008","AQUE","AQUE.1",0.166666666666667,6,2004,"2",2004-07-01,2004-07-23,1.7625,80,175
"141",2004-07-23,"a-l-03","c-l-00009","AQUE","AQUE.2",0.5,6,2004,"2",2004-07-01,2004-07-23,0.65,80,175
"142",2004-07-23,"a-l-03","c-l-00010","AQUE","AQUE.5",0,6,2004,"2",2004-07-01,2004-07-23,0.4625,80,174
"143",2004-07-26,"a-l-02","c-l-00003","AHND","AHND.2",12.8333333333333,6,2004,"2",2004-07-01,2004-07-26,0.175,80,177
"144",2004-07-26,"a-l-04","c-l-00011","BULL","BULL.3",0,6,2004,"2",2004-07-01,2004-07-26,0.0125,80,190
"145",2004-07-26,"a-l-04","c-l-00013","BULL","BULL.1",0,6,2004,"2",2004-07-01,2004-07-26,0.1125,80,190
"146",2004-07-26,"a-l-04","c-l-00014","BULL","BULL.6",0,6,2004,"2",2004-07-01,2004-07-26,0.1,80,190
"147",2004-07-27,"a-l-05","c-l-00019","CARP","CARP.1",17.6666666666667,6,2004,"2",2004-07-01,2004-07-27,1.175,80,132
"148",2004-07-27,"a-l-05","c-l-00020","CARP","CARP.6",30.3333333333333,6,2004,"2",2004-07-01,2004-07-27,0.3875,80,132
"149",2004-07-27,"a-l-05","c-l-00022","CARP","CARP.2",3.66666666666667,6,2004,"2",2004-07-01,2004-07-27,1.9,80,131
"150",2004-07-27,"a-l-05","c-l-00025","CARP","CARP.3",25.1666666666667,6,2004,"2",2004-07-01,2004-07-27,1.85,80,132
"151",2004-07-28,"a-l-05","c-l-00021","CARP","CARP.7",8.66666666666667,6,2004,"2",2004-07-01,2004-07-28,2.0125,80,132
"152",2004-07-28,"a-l-05","c-l-00023","CARP","CARP.4",23.6666666666667,6,2004,"2",2004-07-01,2004-07-28,0.9375,80,132
"153",2004-07-28,"a-l-05","c-l-00024","CARP","CARP.8",51.1666666666667,6,2004,"2",2004-07-01,2004-07-28,0.0125,80,131
"154",2004-07-28,"a-l-05","c-l-00026","CARP","CARP.5",21.1666666666667,6,2004,"2",2004-07-01,2004-07-28,0,80,131
"155",2005-07-18,"a-l-09","c-l-00039","NAPL","NAPL.1",2.33333333333333,6,2005,"2",2005-07-01,2005-07-18,0.575,80,160
"156",2005-07-18,"a-l-09","c-l-00041","NAPL","NAPL.2",5,6,2005,"2",2005-07-01,2005-07-18,0.5,80,160
"157",2005-07-18,"a-l-09","c-l-00043","NAPL","NAPL.3",18.3333333333333,6,2005,"2",2005-07-01,2005-07-18,0.6875,80,160
"158",2005-07-18,"a-l-09","c-l-00045","NAPL","NAPL.4",0.166666666666667,6,2005,"2",2005-07-01,2005-07-18,0.0875,80,160
"159",2005-07-19,"a-l-05","c-l-00019","CARP","CARP.1",14.8333333333333,6,2005,"2",2005-07-01,2005-07-19,5.6375,80,132
"160",2005-07-19,"a-l-05","c-l-00020","CARP","CARP.6",16,6,2005,"2",2005-07-01,2005-07-19,0.0875,80,132
"161",2005-07-19,"a-l-05","c-l-00023","CARP","CARP.4",28.1666666666667,6,2005,"2",2005-07-01,2005-07-19,0.425,80,132
"162",2005-07-19,"a-l-05","c-l-00025","CARP","CARP.3",13.3333333333333,6,2005,"2",2005-07-01,2005-07-19,0.7625,80,132
"163",2005-07-20,"a-l-05","c-l-00021","CARP","CARP.7",11,6,2005,"2",2005-07-01,2005-07-20,0.3625,80,132
"164",2005-07-20,"a-l-05","c-l-00022","CARP","CARP.2",4.33333333333333,6,2005,"2",2005-07-01,2005-07-20,2.0375,80,131
"165",2005-07-20,"a-l-05","c-l-00024","CARP","CARP.8",15.5,6,2005,"2",2005-07-01,2005-07-20,2.525,80,131
"166",2005-07-20,"a-l-05","c-l-00026","CARP","CARP.5",15.8333333333333,6,2005,"2",2005-07-01,2005-07-20,0.15,80,131
"167",2005-07-21,"a-l-02","c-l-00003","AHND","AHND.2",3,6,2005,"2",2005-07-01,2005-07-21,0.4125,80,177
"168",2005-07-21,"a-l-04","c-l-00011","BULL","BULL.3",0,6,2005,"2",2005-07-01,2005-07-21,0.0875,80,190
"169",2005-07-21,"a-l-04","c-l-00013","BULL","BULL.1",0,6,2005,"2",2005-07-01,2005-07-21,0.125,80,190
"170",2005-07-21,"a-l-04","c-l-00014","BULL","BULL.6",0,6,2005,"2",2005-07-01,2005-07-21,0.2,80,190
"171",2005-07-22,"a-l-01","c-l-00001","ABUR","ABUR.1",0.166666666666667,6,2005,"2",2005-07-01,2005-07-22,0.5625,80,145
"172",2005-07-22,"a-l-01","c-l-00002","ABUR","ABUR.2",0,6,2005,"2",2005-07-01,2005-07-22,0.1125,80,145
"173",2005-07-22,"a-l-08","c-l-00037","MOHK","MOHK.2",18.1666666666667,6,2005,"2",2005-07-01,2005-07-22,0.175,80,145
"174",2005-07-22,"a-l-08","c-l-00038","MOHK","MOHK.1",4.66666666666667,6,2005,"2",2005-07-01,2005-07-22,0.2,80,145
"175",2005-07-26,"a-l-07","c-l-00031","IVEE","IVEE.2",0.166666666666667,6,2005,"2",2005-07-01,2005-07-26,0.55,80,152
"176",2005-07-26,"a-l-07","c-l-00035","IVEE","IVEE.1",0,6,2005,"2",2005-07-01,2005-07-26,0.0125,80,152
"177",2005-07-28,"a-l-03","c-l-00005","AQUE","AQUE.4",0,6,2005,"2",2005-07-01,2005-07-28,0.0375,80,174
"178",2005-07-28,"a-l-03","c-l-00006","AQUE","AQUE.6",0,6,2005,"2",2005-07-01,2005-07-28,0.1625,80,175
"179",2005-07-28,"a-l-03","c-l-00007","AQUE","AQUE.3",0,6,2005,"2",2005-07-01,2005-07-28,0.0125,80,174
"180",2005-07-28,"a-l-03","c-l-00008","AQUE","AQUE.1",0.833333333333333,6,2005,"2",2005-07-01,2005-07-28,0.2625,80,175
"181",2005-07-28,"a-l-03","c-l-00009","AQUE","AQUE.2",1.16666666666667,6,2005,"2",2005-07-01,2005-07-28,0.1,80,175
"182",2005-07-28,"a-l-03","c-l-00010","AQUE","AQUE.5",0,6,2005,"2",2005-07-01,2005-07-28,0.1875,80,174
"183",2005-07-29,"a-l-09","c-l-00040","NAPL","NAPL.8",2.16666666666667,6,2005,"2",2005-07-01,2005-07-29,0.8875,80,160
"184",2005-07-29,"a-l-09","c-l-00042","NAPL","NAPL.6",0,6,2005,"2",2005-07-01,2005-07-29,0.2625,80,160
"185",2005-07-29,"a-l-09","c-l-00044","NAPL","NAPL.5",0,6,2005,"2",2005-07-01,2005-07-29,0.3625,80,160
"186",2005-07-29,"a-l-09","c-l-00046","NAPL","NAPL.7",0.833333333333333,6,2005,"2",2005-07-01,2005-07-29,1.2375,80,160
"187",2005-08-16,"a-l-06","c-l-00027","GOLB","GOLB.2",3.66666666666667,6,2005,"2",2005-07-01,2005-08-16,0.375,80,150
"188",2005-08-16,"a-l-06","c-l-00028","GOLB","GOLB.1",0,6,2005,"2",2005-07-01,2005-08-16,0.1625,80,150
"189",2006-07-17,"a-l-09","c-l-00039","NAPL","NAPL.1",3.5,6,2006,"2",2006-07-01,2006-07-17,1.2875,80,160
"190",2006-07-17,"a-l-09","c-l-00041","NAPL","NAPL.2",12,6,2006,"2",2006-07-01,2006-07-17,1.625,80,160
"191",2006-07-17,"a-l-09","c-l-00043","NAPL","NAPL.3",38.5,6,2006,"2",2006-07-01,2006-07-17,0.125,80,160
"192",2006-07-17,"a-l-09","c-l-00045","NAPL","NAPL.4",24.1666666666667,6,2006,"2",2006-07-01,2006-07-17,0,80,160
"193",2006-07-18,"a-l-09","c-l-00040","NAPL","NAPL.8",1.5,6,2006,"2",2006-07-01,2006-07-18,0.0625,80,160
"194",2006-07-18,"a-l-09","c-l-00042","NAPL","NAPL.6",1.66666666666667,6,2006,"2",2006-07-01,2006-07-18,0.0875,80,160
"195",2006-07-18,"a-l-09","c-l-00044","NAPL","NAPL.5",0.666666666666667,6,2006,"2",2006-07-01,2006-07-18,0.125,80,160
