"","Site","year","quarter","year.qtr","waveht"
"84",2,2001,4,"2001.4",2.53
"85",2,2002,1,"2002.1",2.43
"86",2,2002,2,"2002.2",1.55
"87",2,2002,3,"2002.3",1.01
"88",2,2002,4,"2002.4",3.03
"89",2,2003,1,"2003.1",1.79
"90",2,2003,2,"2003.2",1.47
"91",2,2003,3,"2003.3",0.75
"92",2,2003,4,"2003.4",1.98
"93",2,2004,1,"2004.1",2.72
"94",2,2004,2,"2004.2",1.4
"95",2,2004,3,"2004.3",1.38
"96",2,2004,4,"2004.4",2.4
"97",2,2005,1,"2005.1",2.29
"98",2,2005,2,"2005.2",2.37
"99",2,2005,3,"2005.3",0.82
"100",2,2005,4,"2005.4",2.44
"101",2,2006,1,"2006.1",2.32
"102",2,2006,2,"2006.2",1.51
"103",2,2006,3,"2006.3",1.58
"104",2,2006,4,"2006.4",3.29
"105",2,2007,1,"2007.1",2.49
"106",2,2007,2,"2007.2",1.79
"107",2,2007,3,"2007.3",1.09
"108",2,2007,4,"2007.4",2.61
"109",2,2008,1,"2008.1",3.73
"110",2,2008,2,"2008.2",2.45
"111",2,2008,3,"2008.3",1.3
"112",2,2008,4,"2008.4",2.19
"113",3,1995,1,"1995.1",2.91
"114",3,1995,2,"1995.2",1.22
"115",3,1995,3,"1995.3",1
"116",3,1995,4,"1995.4",2.15
"117",3,1996,1,"1996.1",1.46
"118",3,1996,2,"1996.2",1.07
"119",3,1996,3,"1996.3",0.86
"120",3,1996,4,"1996.4",1.2
"121",3,1997,1,"1997.1",1.55
"122",3,1997,2,"1997.2",0.96
"123",3,1997,3,"1997.3",1.1
"124",3,1997,4,"1997.4",1.71
"125",3,1998,1,"1998.1",3.53
"126",3,1998,2,"1998.2",1.24
"127",3,1998,3,"1998.3",0.79
"128",3,1998,4,"1998.4",1.36
"129",3,1999,1,"1999.1",1.28
"130",3,1999,2,"1999.2",1.05
"131",3,1999,3,"1999.3",0.77
"132",3,1999,4,"1999.4",1.38
"133",3,2000,1,"2000.1",2.21
"134",3,2000,2,"2000.2",0.97
"135",3,2000,3,"2000.3",0.72
"136",3,2000,4,"2000.4",1.62
"137",3,2001,1,"2001.1",2.3
"138",3,2001,2,"2001.2",0.92
"139",3,2001,3,"2001.3",0.73
"140",3,2001,4,"2001.4",2.37
"141",3,2002,1,"2002.1",1.6
"142",3,2002,2,"2002.2",0.81
"143",3,2002,3,"2002.3",0.7
"144",3,2002,4,"2002.4",2.76
"145",3,2003,1,"2003.1",1.64
"146",3,2003,2,"2003.2",0.94
"147",3,2003,3,"2003.3",0.72
"148",3,2003,4,"2003.4",1.43
"149",3,2004,1,"2004.1",1.88
"150",3,2004,2,"2004.2",1.08
"151",3,2004,3,"2004.3",0.79
"152",3,2004,4,"2004.4",1.82
"153",3,2005,1,"2005.1",2.25
"154",3,2005,2,"2005.2",0.91
"155",3,2005,3,"2005.3",1.21
"156",3,2005,4,"2005.4",3.45
"157",3,2006,1,"2006.1",1.7
"158",3,2006,2,"2006.2",1.17
"159",3,2006,3,"2006.3",0.86
"160",3,2006,4,"2006.4",1.4
"161",3,2007,1,"2007.1",1.44
"162",3,2007,2,"2007.2",1.43
"163",3,2007,3,"2007.3",0.75
"164",3,2007,4,"2007.4",5.08
"165",3,2008,1,"2008.1",4.69
"166",3,2008,2,"2008.2",0.89
"167",3,2008,3,"2008.3",0.78
"168",3,2008,4,"2008.4",1.11
"169",4,1995,1,"1995.1",2.74
"170",4,1995,2,"1995.2",1.29
"171",4,1995,3,"1995.3",1.11
"172",4,1995,4,"1995.4",2.2
"173",4,1996,1,"1996.1",1.62
"174",4,1996,2,"1996.2",1.19
"175",4,1996,3,"1996.3",1.24
"176",4,1996,4,"1996.4",1.32
"177",4,1997,1,"1997.1",1.7
"178",4,1997,2,"1997.2",1.09
"179",4,1997,3,"1997.3",1.3
"180",4,1997,4,"1997.4",1.9
"181",4,1998,1,"1998.1",3.14
"182",4,1998,2,"1998.2",1.42
"183",4,1998,3,"1998.3",1.15
"184",4,1998,4,"1998.4",1.46
"185",4,1999,1,"1999.1",1.34
"186",4,1999,2,"1999.2",1.17
"187",4,1999,3,"1999.3",1.11
"188",4,1999,4,"1999.4",1.45
"189",4,2000,1,"2000.1",2.26
"190",4,2000,2,"2000.2",1.08
"191",4,2000,3,"2000.3",1.1
"192",4,2000,4,"2000.4",1.69
"193",4,2001,1,"2001.1",2.31
"194",4,2001,2,"2001.2",1.1
"195",4,2001,3,"2001.3",0.99
"196",4,2001,4,"2001.4",2.34
"197",4,2002,1,"2002.1",1.69
"198",4,2002,2,"2002.2",1.13
"199",4,2002,3,"2002.3",1.03
"200",4,2002,4,"2002.4",2.6
"201",4,2003,1,"2003.1",1.78
"202",4,2003,2,"2003.2",1.15
"203",4,2003,3,"2003.3",1.04
"204",4,2003,4,"2003.4",1.53
"205",4,2004,1,"2004.1",1.89
"206",4,2004,2,"2004.2",1.56
"207",4,2004,3,"2004.3",1.32
"208",4,2004,4,"2004.4",1.89
"209",4,2005,1,"2005.1",1.88
"210",4,2005,2,"2005.2",1.21
"211",4,2005,3,"2005.3",1.63
"212",4,2005,4,"2005.4",3.3
"213",4,2006,1,"2006.1",1.8
"214",4,2006,2,"2006.2",1.53
"215",4,2006,3,"2006.3",1.22
"216",4,2006,4,"2006.4",1.54
"217",4,2007,1,"2007.1",1.41
"218",4,2007,2,"2007.2",2.52
"219",4,2007,3,"2007.3",1.12
"220",4,2007,4,"2007.4",5.15
"221",4,2008,1,"2008.1",3.92
"222",4,2008,2,"2008.2",1.35
"223",4,2008,3,"2008.3",1.36
"224",4,2008,4,"2008.4",1.32
"225",5,1995,1,"1995.1",2.07
"226",5,1995,2,"1995.2",1.98
"227",5,1995,3,"1995.3",1.22
"228",5,1995,4,"1995.4",2.2
"229",5,1996,1,"1996.1",1.79
"230",5,1996,2,"1996.2",1.54
"231",5,1996,3,"1996.3",1.09
"232",5,1996,4,"1996.4",1.85
"233",5,1997,1,"1997.1",1.91
"234",5,1997,2,"1997.2",1.55
"235",5,1997,3,"1997.3",1.44
"236",5,1997,4,"1997.4",1.8
"237",5,1998,1,"1998.1",2.35
"238",5,1998,2,"1998.2",1.57
"239",5,1998,3,"1998.3",1.07
"240",5,1998,4,"1998.4",1.89
"241",5,1999,1,"1999.1",1.92
"242",5,1999,2,"1999.2",2.02
"243",5,1999,3,"1999.3",1.04
"244",5,1999,4,"1999.4",2.04
"245",5,2000,1,"2000.1",2
"246",5,2000,2,"2000.2",1.53
"247",5,2000,3,"2000.3",0.94
"248",5,2000,4,"2000.4",1.97
"249",5,2001,1,"2001.1",2.3
"250",5,2001,2,"2001.2",1.78
"251",5,2001,3,"2001.3",1.22
"252",5,2001,4,"2001.4",2.32
"253",5,2002,1,"2002.1",1.97
"254",5,2002,2,"2002.2",1.49
"255",5,2002,3,"2002.3",1
"256",5,2002,4,"2002.4",2.55
"257",5,2003,1,"2003.1",1.81
"258",5,2003,2,"2003.2",1.38
"259",5,2003,3,"2003.3",0.89
"260",5,2003,4,"2003.4",1.83
"261",5,2004,1,"2004.1",2.5
"262",5,2004,2,"2004.2",1.27
"263",5,2004,3,"2004.3",0.8
"264",5,2004,4,"2004.4",1.87
"265",5,2005,1,"2005.1",1.72
"266",5,2005,2,"2005.2",1.48
"267",5,2005,3,"2005.3",0.66
"268",5,2005,4,"2005.4",2
"269",5,2006,1,"2006.1",1.84
"270",5,2006,2,"2006.2",1.58
"271",5,2006,3,"2006.3",1.09
"272",5,2006,4,"2006.4",2.64
"273",5,2007,1,"2007.1",2.26
"274",5,2007,2,"2007.2",1.53
"275",5,2007,3,"2007.3",0.79
"276",5,2007,4,"2007.4",2.34
"277",5,2008,1,"2008.1",3.03
"278",5,2008,2,"2008.2",1.58
"279",5,2008,3,"2008.3",0.82
"280",5,2008,4,"2008.4",1.77
"281",6,1995,1,"1995.1",1.35
"282",6,1995,2,"1995.2",1.1
"283",6,1995,3,"1995.3",1.06
"284",6,1995,4,"1995.4",1.05
"285",6,1996,1,"1996.1",1.06
"286",6,1996,2,"1996.2",1.13
"287",6,1996,3,"1996.3",1.26
"288",6,1996,4,"1996.4",1.14
"289",6,1997,1,"1997.1",1.1
"290",6,1997,2,"1997.2",1.1
"291",6,1997,3,"1997.3",1.15
"292",6,1997,4,"1997.4",1.29
"293",6,1998,1,"1998.1",1.4
"294",6,1998,2,"1998.2",1.18
"295",6,1998,3,"1998.3",1.18
"296",6,1998,4,"1998.4",1.08
"297",6,1999,1,"1999.1",1.03
"298",6,1999,2,"1999.2",1.23
"299",6,1999,3,"1999.3",1.17
"300",6,1999,4,"1999.4",1.17
"301",6,2000,1,"2000.1",1.36
"302",6,2000,2,"2000.2",1.08
"303",6,2000,3,"2000.3",1.07
"304",6,2000,4,"2000.4",1.04
"305",6,2001,1,"2001.1",1.15
"306",6,2001,2,"2001.2",1.16
"307",6,2001,3,"2001.3",1
"308",6,2001,4,"2001.4",1.2
"309",6,2002,1,"2002.1",1.07
"310",6,2002,2,"2002.2",1.03
"311",6,2002,3,"2002.3",1.08
"312",6,2002,4,"2002.4",1.21
"313",6,2003,1,"2003.1",1.23
"314",6,2003,2,"2003.2",1.21
"315",6,2003,3,"2003.3",1.06
"316",6,2003,4,"2003.4",1.03
"317",6,2004,1,"2004.1",1.12
"318",6,2004,2,"2004.2",2.06
"319",6,2004,3,"2004.3",1.24
"320",6,2004,4,"2004.4",1.19
"321",6,2005,1,"2005.1",2.05
"322",6,2005,2,"2005.2",1.49
"323",6,2005,3,"2005.3",2.36
"324",6,2005,4,"2005.4",1.47
"325",6,2006,1,"2006.1",1.23
"326",6,2006,2,"2006.2",1.62
"327",6,2006,3,"2006.3",1.59
"328",6,2006,4,"2006.4",1.25
"329",6,2007,1,"2007.1",1.23
"330",6,2007,2,"2007.2",2.08
"331",6,2007,3,"2007.3",1.31
"332",6,2007,4,"2007.4",1.89
"333",6,2008,1,"2008.1",1.7
"334",6,2008,2,"2008.2",1.45
"335",6,2008,3,"2008.3",1.48
"336",6,2008,4,"2008.4",1.29
"337",8,1995,1,"1995.1",0.55
"338",8,1995,2,"1995.2",0.4
"339",8,1995,3,"1995.3",0.3
"340",8,1995,4,"1995.4",0.49
"341",8,1996,1,"1996.1",0.42
"342",8,1996,2,"1996.2",0.37
"343",8,1996,3,"1996.3",0.23
"344",8,1996,4,"1996.4",0.41
"345",8,1997,1,"1997.1",0.43
"346",8,1997,2,"1997.2",0.37
"347",8,1997,3,"1997.3",0.33
"348",8,1997,4,"1997.4",0.43
"349",8,1998,1,"1998.1",0.6
"350",8,1998,2,"1998.2",0.38
"351",8,1998,3,"1998.3",0.22
"352",8,1998,4,"1998.4",0.42
"353",8,1999,1,"1999.1",0.41
"354",8,1999,2,"1999.2",0.37
"355",8,1999,3,"1999.3",0.22
"356",8,1999,4,"1999.4",0.43
"357",8,2000,1,"2000.1",0.46
"358",8,2000,2,"2000.2",0.38
"359",8,2000,3,"2000.3",0.23
"360",8,2000,4,"2000.4",0.45
"361",8,2001,1,"2001.1",0.5
"362",8,2001,2,"2001.2",0.35
"363",8,2001,3,"2001.3",0.24
"364",8,2001,4,"2001.4",0.52
"365",8,2002,1,"2002.1",0.43
"366",8,2002,2,"2002.2",0.32
"367",8,2002,3,"2002.3",0.21
"368",8,2002,4,"2002.4",0.53
"369",8,2003,1,"2003.1",0.45
"370",8,2003,2,"2003.2",0.31
"371",8,2003,3,"2003.3",0.19
"372",8,2003,4,"2003.4",0.44
"373",8,2004,1,"2004.1",0.75
"374",8,2004,2,"2004.2",0.36
"375",8,2004,3,"2004.3",0.18
"376",8,2004,4,"2004.4",0.46
"377",8,2005,1,"2005.1",0.46
"378",8,2005,2,"2005.2",0.44
"379",8,2005,3,"2005.3",0.14
"380",8,2005,4,"2005.4",0.5
"381",8,2006,1,"2006.1",0.49
"382",8,2006,2,"2006.2",0.47
"383",8,2006,3,"2006.3",0.15
"384",8,2006,4,"2006.4",0.57
"385",8,2007,1,"2007.1",0.56
"386",8,2007,2,"2007.2",0.35
"387",8,2007,3,"2007.3",0.23
"388",8,2007,4,"2007.4",0.44
"389",8,2008,1,"2008.1",0.66
"390",8,2008,2,"2008.2",0.49
"391",8,2008,3,"2008.3",0.29
"392",8,2008,4,"2008.4",0.54
"393",9,1995,1,"1995.1",1.37
"394",9,1995,2,"1995.2",0.87
"395",9,1995,3,"1995.3",0.57
"396",9,1995,4,"1995.4",1.18
"397",9,1996,1,"1996.1",0.97
"398",9,1996,2,"1996.2",0.8
"399",9,1996,3,"1996.3",0.41
"400",9,1996,4,"1996.4",0.93
"401",9,1997,1,"1997.1",1.01
"402",9,1997,2,"1997.2",0.76
"403",9,1997,3,"1997.3",0.67
"404",9,1997,4,"1997.4",1.01
"405",9,1998,1,"1998.1",1.52
"406",9,1998,2,"1998.2",0.84
"407",9,1998,3,"1998.3",0.38
"408",9,1998,4,"1998.4",0.93
"409",9,1999,1,"1999.1",0.92
"410",9,1999,2,"1999.2",0.79
"411",9,1999,3,"1999.3",0.35
"412",9,1999,4,"1999.4",0.97
"413",9,2000,1,"2000.1",1.09
"414",9,2000,2,"2000.2",0.81
"415",9,2000,3,"2000.3",0.39
"416",9,2000,4,"2000.4",1.04
"417",9,2001,1,"2001.1",1.24
"418",9,2001,2,"2001.2",0.73
"419",9,2001,3,"2001.3",0.42
"420",9,2001,4,"2001.4",1.29
"421",9,2002,1,"2002.1",0.98
"422",9,2002,2,"2002.2",0.63
"423",9,2002,3,"2002.3",0.38
"424",9,2002,4,"2002.4",1.32
"425",9,2003,1,"2003.1",1.05
"426",9,2003,2,"2003.2",0.59
"427",9,2003,3,"2003.3",0.31
"428",9,2003,4,"2003.4",1.02
"429",9,2004,1,"2004.1",1.44
"430",9,2004,2,"2004.2",0.69
"431",9,2004,3,"2004.3",0.29
"432",9,2004,4,"2004.4",0.82
"433",9,2005,1,"2005.1",1.43
"434",9,2005,2,"2005.2",0.76
"435",9,2005,3,"2005.3",0.33
"436",9,2005,4,"2005.4",1.2
"437",9,2006,1,"2006.1",1.05
"438",9,2006,2,"2006.2",1.09
"439",9,2006,3,"2006.3",0.38
"440",9,2006,4,"2006.4",1.2
"441",9,2007,1,"2007.1",1.08
"442",9,2007,2,"2007.2",0.74
"443",9,2007,3,"2007.3",0.48
"444",9,2007,4,"2007.4",1.19
"445",9,2008,1,"2008.1",1.81
"446",9,2008,2,"2008.2",0.82
"447",9,2008,3,"2008.3",0.52
"448",9,2008,4,"2008.4",1.17
"449",10,1995,1,"1995.1",1.43
"450",10,1995,2,"1995.2",1.16
"451",10,1995,3,"1995.3",0.94
"452",10,1995,4,"1995.4",1.07
"453",10,1996,1,"1996.1",1.07
"454",10,1996,2,"1996.2",1
"455",10,1996,3,"1996.3",1.09
"456",10,1996,4,"1996.4",1.2
"457",10,1997,1,"1997.1",1.11
"458",10,1997,2,"1997.2",1.09
"459",10,1997,3,"1997.3",1.01
"460",10,1997,4,"1997.4",1.26
"461",10,1998,1,"1998.1",1.51
"462",10,1998,2,"1998.2",1.11
"463",10,1998,3,"1998.3",1.01
"464",10,1998,4,"1998.4",0.94
"465",10,1999,1,"1999.1",1.08
"466",10,1999,2,"1999.2",1.32
"467",10,1999,3,"1999.3",0.99
"468",10,1999,4,"1999.4",1
"469",10,2000,1,"2000.1",1.34
"470",10,2000,2,"2000.2",1
"471",10,2000,3,"2000.3",0.9
"472",10,2000,4,"2000.4",0.94
"473",10,2001,1,"2001.1",1.19
"474",10,2001,2,"2001.2",0.97
"475",10,2001,3,"2001.3",0.88
"476",10,2001,4,"2001.4",1.26
"477",10,2002,1,"2002.1",1.1
"478",10,2002,2,"2002.2",0.92
"479",10,2002,3,"2002.3",0.91
"480",10,2002,4,"2002.4",1.23
"481",10,2003,1,"2003.1",1.25
"482",10,2003,2,"2003.2",1.1
"483",10,2003,3,"2003.3",0.9
"484",10,2003,4,"2003.4",0.96
"485",10,2004,1,"2004.1",1.45
"486",10,2004,2,"2004.2",1.34
"487",10,2004,3,"2004.3",1.08
"488",10,2004,4,"2004.4",2
"489",10,2005,1,"2005.1",1.57
"490",10,2005,2,"2005.2",1.18
"491",10,2005,3,"2005.3",1.38
"492",10,2005,4,"2005.4",1.21
"493",10,2006,1,"2006.1",1.51
"494",10,2006,2,"2006.2",1.26
"495",10,2006,3,"2006.3",1.19
"496",10,2006,4,"2006.4",1
"497",10,2007,1,"2007.1",0.97
"498",10,2007,2,"2007.2",2.16
"499",10,2007,3,"2007.3",0.99
"500",10,2007,4,"2007.4",1.75
"501",10,2008,1,"2008.1",1.48
"502",10,2008,2,"2008.2",1.15
"503",10,2008,3,"2008.3",1.14
"504",10,2008,4,"2008.4",1.12
"505",11,1995,1,"1995.1",1.57
"506",11,1995,2,"1995.2",1.33
"507",11,1995,3,"1995.3",0.92
"508",11,1995,4,"1995.4",1.2
"509",11,1996,1,"1996.1",1.17
"510",11,1996,2,"1996.2",1.13
"511",11,1996,3,"1996.3",1.07
"512",11,1996,4,"1996.4",1.36
"513",11,1997,1,"1997.1",1.3
"514",11,1997,2,"1997.2",1.27
"515",11,1997,3,"1997.3",0.97
"516",11,1997,4,"1997.4",1.34
"517",11,1998,1,"1998.1",1.61
"518",11,1998,2,"1998.2",1.17
"519",11,1998,3,"1998.3",0.95
"520",11,1998,4,"1998.4",1.07
"521",11,1999,1,"1999.1",1.24
"522",11,1999,2,"1999.2",1.48
"523",11,1999,3,"1999.3",0.93
"524",11,1999,4,"1999.4",1
"525",11,2000,1,"2000.1",1.44
"526",11,2000,2,"2000.2",1.15
"527",11,2000,3,"2000.3",0.83
"528",11,2000,4,"2000.4",0.99
"529",11,2001,1,"2001.1",1.32
"530",11,2001,2,"2001.2",1.05
"531",11,2001,3,"2001.3",0.85
"532",11,2001,4,"2001.4",1.4
"533",11,2002,1,"2002.1",1.25
"534",11,2002,2,"2002.2",1.06
"535",11,2002,3,"2002.3",0.85
"536",11,2002,4,"2002.4",1.36
"537",11,2003,1,"2003.1",1.41
"538",11,2003,2,"2003.2",1.17
"539",11,2003,3,"2003.3",0.86
"540",11,2003,4,"2003.4",1.1
"541",11,2004,1,"2004.1",1.37
"542",11,2004,2,"2004.2",1.29
"543",11,2004,3,"2004.3",1.08
"544",11,2004,4,"2004.4",1.91
"545",11,2005,1,"2005.1",1.5
"546",11,2005,2,"2005.2",1.12
"547",11,2005,3,"2005.3",1.41
"548",11,2005,4,"2005.4",1.47
"549",11,2006,1,"2006.1",1.55
"550",11,2006,2,"2006.2",1.43
"551",11,2006,3,"2006.3",1.08
"552",11,2006,4,"2006.4",1.16
"553",11,2007,1,"2007.1",1.07
"554",11,2007,2,"2007.2",1.89
"555",11,2007,3,"2007.3",0.97
"556",11,2007,4,"2007.4",2.12
"557",11,2008,1,"2008.1",1.84
"558",11,2008,2,"2008.2",1.35
"559",11,2008,3,"2008.3",0.91
"560",11,2008,4,"2008.4",1.14
"561",14,1995,1,"1995.1",1.99
"562",14,1995,2,"1995.2",1.4
"563",14,1995,3,"1995.3",1
"564",14,1995,4,"1995.4",1.4
"565",14,1996,1,"1996.1",1.31
"566",14,1996,2,"1996.2",1.21
"567",14,1996,3,"1996.3",1.19
"568",14,1996,4,"1996.4",1.49
"569",14,1997,1,"1997.1",1.44
"570",14,1997,2,"1997.2",1.4
"571",14,1997,3,"1997.3",1.35
"572",14,1997,4,"1997.4",1.51
"573",14,1998,1,"1998.1",2.15
"574",14,1998,2,"1998.2",1.29
"575",14,1998,3,"1998.3",1.15
"576",14,1998,4,"1998.4",1.1
"577",14,1999,1,"1999.1",1.36
"578",14,1999,2,"1999.2",1.73
"579",14,1999,3,"1999.3",1.1
"580",14,1999,4,"1999.4",1.06
"581",14,2000,1,"2000.1",1.66
"582",14,2000,2,"2000.2",1.3
"583",14,2000,3,"2000.3",1.15
"584",14,2000,4,"2000.4",1.07
"585",14,2001,1,"2001.1",1.5
"586",14,2001,2,"2001.2",1.13
"587",14,2001,3,"2001.3",1.12
"588",14,2001,4,"2001.4",1.69
"589",14,2002,1,"2002.1",1.47
"590",14,2002,2,"2002.2",1.07
"591",14,2002,3,"2002.3",1.14
"592",14,2002,4,"2002.4",1.61
"593",14,2003,1,"2003.1",1.73
"594",14,2003,2,"2003.2",1.28
"595",14,2003,3,"2003.3",1.1
"596",14,2003,4,"2003.4",1.19
"597",14,2004,1,"2004.1",2.17
"598",14,2004,2,"2004.2",1.12
"599",14,2004,3,"2004.3",0.98
"600",14,2004,4,"2004.4",2.69
"601",14,2005,1,"2005.1",2.15
"602",14,2005,2,"2005.2",1
"603",14,2005,3,"2005.3",1.13
"604",14,2005,4,"2005.4",1.99
"605",14,2006,1,"2006.1",2.12
"606",14,2006,2,"2006.2",1.55
"607",14,2006,3,"2006.3",1.05
"608",14,2006,4,"2006.4",1.32
"609",14,2007,1,"2007.1",1.37
"610",14,2007,2,"2007.2",2.08
"611",14,2007,3,"2007.3",1.02
"612",14,2007,4,"2007.4",2.15
"613",14,2008,1,"2008.1",2.56
"614",14,2008,2,"2008.2",1.33
"615",14,2008,3,"2008.3",1.21
"616",14,2008,4,"2008.4",1.66
"617",16,1995,1,"1995.1",1.99
"618",16,1995,2,"1995.2",1.4
"619",16,1995,3,"1995.3",1
"620",16,1995,4,"1995.4",1.4
"621",16,1996,1,"1996.1",1.31
"622",16,1996,2,"1996.2",1.21
"623",16,1996,3,"1996.3",1.19
"624",16,1996,4,"1996.4",1.49
"625",16,1997,1,"1997.1",1.44
"626",16,1997,2,"1997.2",1.4
"627",16,1997,3,"1997.3",1.35
"628",16,1997,4,"1997.4",1.51
"629",16,1998,1,"1998.1",2.15
"630",16,1998,2,"1998.2",1.29
"631",16,1998,3,"1998.3",1.15
"632",16,1998,4,"1998.4",1.1
"633",16,1999,1,"1999.1",1.36
"634",16,1999,2,"1999.2",1.73
"635",16,1999,3,"1999.3",1.1
"636",16,1999,4,"1999.4",1.06
"637",16,2000,1,"2000.1",1.66
"638",16,2000,2,"2000.2",1.3
"639",16,2000,3,"2000.3",1.15
"640",16,2000,4,"2000.4",1.07
"641",16,2001,1,"2001.1",1.5
"642",16,2001,2,"2001.2",1.13
"643",16,2001,3,"2001.3",1.12
"644",16,2001,4,"2001.4",1.69
"645",16,2002,1,"2002.1",1.47
"646",16,2002,2,"2002.2",1.07
"647",16,2002,3,"2002.3",1.14
"648",16,2002,4,"2002.4",1.61
"649",16,2003,1,"2003.1",1.73
"650",16,2003,2,"2003.2",1.28
"651",16,2003,3,"2003.3",1.1
"652",16,2003,4,"2003.4",1.19
"653",16,2004,1,"2004.1",2.17
"654",16,2004,2,"2004.2",1.12
"655",16,2004,3,"2004.3",0.98
"656",16,2004,4,"2004.4",2.69
"657",16,2005,1,"2005.1",2.15
"658",16,2005,2,"2005.2",1
"659",16,2005,3,"2005.3",1.13
"660",16,2005,4,"2005.4",1.99
"661",16,2006,1,"2006.1",2.12
"662",16,2006,2,"2006.2",1.55
"663",16,2006,3,"2006.3",1.05
"664",16,2006,4,"2006.4",1.32
"665",16,2007,1,"2007.1",1.37
"666",16,2007,2,"2007.2",2.08
"667",16,2007,3,"2007.3",1.02
"668",16,2007,4,"2007.4",2.15
"669",16,2008,1,"2008.1",2.56
"670",16,2008,2,"2008.2",1.33
"671",16,2008,3,"2008.3",1.21
"672",16,2008,4,"2008.4",1.66
"673",21,1995,1,"1995.1",3.03
"674",21,1995,2,"1995.2",1.7
"675",21,1995,3,"1995.3",1.18
"676",21,1995,4,"1995.4",2.39
"677",21,1996,1,"1996.1",2.44
"678",21,1996,2,"1996.2",1.46
"679",21,1996,3,"1996.3",1.43
"680",21,1996,4,"1996.4",1.79
"681",21,1997,1,"1997.1",2.26
"682",21,1997,2,"1997.2",1.5
"683",21,1997,3,"1997.3",1.54
"684",21,1997,4,"1997.4",2.56
"685",21,1998,1,"1998.1",3.39
"686",21,1998,2,"1998.2",1.92
"687",21,1998,3,"1998.3",1.26
"688",21,1998,4,"1998.4",1.71
"689",21,1999,1,"1999.1",1.79
"690",21,1999,2,"1999.2",1.73
"691",21,1999,3,"1999.3",1.2
"692",21,1999,4,"1999.4",1.47
"693",21,2000,1,"2000.1",2.56
"694",21,2000,2,"2000.2",1.49
"695",21,2000,3,"2000.3",1.11
"696",21,2000,4,"2000.4",1.57
"697",21,2001,1,"2001.1",2.54
"698",21,2001,2,"2001.2",1.45
"699",21,2001,3,"2001.3",1.23
